Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Annuale,Biennale,Triennale
2428,P,Por,Sommer,Inter,16,16,0,16,16,0,90,90,5,12,20
5876,P,Por,Di Gregorio,Juventus,16,16,0,16,16,0,84,84,5,12,20
4312,P,Por,Maignan,Milan,16,16,0,16,16,0,77,77,5,12,20
572,P,Por,Meret,Napoli,16,16,0,16,16,0,93,93,5,12,20
5841,P,Por,Svilar,Roma,15,15,0,15,15,0,83,83,5,12,20
4431,P,Por,Carnesecchi,Atalanta,14,14,0,14,14,0,71,71,5,12,20
2521,P,Por,De Gea,Fiorentina,14,14,0,14,14,0,58,58,5,12,20
2814,P,Por,Provedel,Lazio,12,12,0,12,12,0,50,50,2,5,10
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,46,46,2,5,10
6966,P,Por,Butez,Como,10,10,0,10,10,0,35,35,2,5,10
7179,P,Por,Israel,Torino,9,9,0,9,9,0,30,30,2,5,10
188,P,Por,Leali,Genoa,8,8,0,8,8,0,29,29,2,5,10
4360,P,Por,Caprile,Cagliari,7,7,0,7,7,0,18,18,2,5,10
6641,P,Por,Suzuki,Parma,7,7,0,7,7,0,14,14,2,5,10
4867,P,Por,Turati,Sassuolo,7,7,0,7,7,0,11,11,2,5,10
2134,P,Por,Falcone,Lecce,6,6,0,6,6,0,17,17,2,5,10
6462,P,Por,Okoye,Udinese,6,6,0,6,6,0,16,16,2,5,10
761,P,Por,Audero,Cremonese,5,5,0,5,5,0,14,14,2,5,10
4957,P,Por,Montipò,Verona,5,5,0,5,5,0,10,10,2,5,10
2170,P,Por,Milinkovic-Savic V.,Napoli,4,4,0,4,4,0,10,10,2,5,10
6842,P,Por,Sava,Udinese,4,4,0,4,4,0,8,8,2,5,10
2722,P,Por,Ravaglia F.,Bologna,3,3,0,3,3,0,6,6,2,5,10
6482,P,Por,Mandas,Lazio,3,3,0,3,3,0,8,8,2,5,10
574,P,Por,Scuffet,Pisa,3,3,0,3,3,0,5,5,2,5,10
2861,P,Por,Semper,Pisa,3,3,0,3,3,0,11,11,2,5,10
4236,P,Por,Muric,Sassuolo,3,3,0,3,3,0,4,4,2,5,10
5116,P,Por,Martinez Jo.,Inter,2,2,0,2,2,0,5,5,2,5,10
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1,2,5,10
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1,2,5,10
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1,2,5,10
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1,2,5,10
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1,2,5,10
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1,2,5,10
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1,2,5,10
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1,2,5,10
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1,2,5,10
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1,2,5,10
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1,2,5,10
218,P,Por,Perin,Juventus,1,1,0,1,1,0,2,2,2,5,10
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1,2,5,10
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1,2,5,10
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1,2,5,10
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1,2,5,10
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1,2,5,10
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1,2,5,10
