slot,name,budget,seasonId,foundedYear,slug,stadiumId,logoUrl,ownerUserId
Team1,Mental Mocch Parygina,500,2025-26,,mental-mocch-parygina,Team1-STADIUM,,
Team2,AS TeamBarazzo,500,2025-26,,as-teambarazzo,Team2-STADIUM,,
Team3,PORCODDUE,500,2025-26,,porcoddue,Team3-STADIUM,,
Team4,A.C. PIEDIlugo,500,2025-26,,ac-piedilugo,Team4-STADIUM,,
Team5,MIGNOTTINGHAM FOREST,500,2025-26,,mignottingham-forest,Team5-STADIUM,,
Team6,SALISBURRO,500,2025-26,,salisburro,Team6-STADIUM,,
Team7,Pelatasaray,500,2025-26,,pelatasaray,Team7-STADIUM,,
Team8,Due fratelli e un garpez,500,2025-26,,due-fratelli-e-un-garpez,Team8-STADIUM,,
Team9,Castel di Sangro,500,2025-26,,castel-di-sangro,Team9-STADIUM,,
Team10,Papiri & Astrini,500,2025-26,,papiri-astrini,Team10-STADIUM,,
